Author,Duration,Describtion,Likes,Share,Collection,Comment,URL
Mark??,11.539s,¡°ÖĞ¹úÈË²»Æ­ÖĞ¹úÈË£¬ºÍ´òÇòµÄÄĞº¢×ÓÌ¸Áµ°®³¬¼¶ĞÒ¸£¡£¡±#ÓÃÀºÇò±í´ïĞÄÇé,79598,1872,471,3215,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c69r7i3c77uaod4rjtk0&line=0&file_id=25607cedfc42405eb6a33674af349fca&sign=c876e2fd45ba609558a5a82462476625&is_play_url=1&source=PackSourceEnum_FEED
ÌğÃÛÀñÎïÏä,11.586s,°¡°¡°¡£¡ÄÄ¸öÅ®Éú²»Ï£ÍûÊÕµ½ÕâÑùµÄÀñÎï°¡£¡Ì«ºÃ¿´ÁË°É£¡#ÔÂÇòµÆ #¸øÅ®ÅóÓÑËÍÀñÎï #Ò¹µÆ #Ğü¸¡ÔÂÇòµÆ #ÉúÈÕÀñÎï,2183,130,91,80,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c65o52rc77u04v1kuqlg&line=0&file_id=6ff9f346a4c14204ba1f57859d581f90&sign=4afb120343634d2d768dd9b51195f805&is_play_url=1&source=PackSourceEnum_FEED
ÎÏ¿ÇÌåÓı,13.768s,¡°½éÉÜÒ»ÏÂ£¬ÕâÊÇKobe Bryant£¬Ò²ÊÇBlack Mamba¡±#¿Æ±È #ºşÈË #ºÚÂü°Í #ÀÏ´ó,194179,9741,5771,2121,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c66glrbc77u9u8gkjnhg&line=0&file_id=f880b90855fc4cc28396b1e9fe8f4828&sign=4e2b5959f7b29bf3ad7dd98f2577c086&is_play_url=1&source=PackSourceEnum_FEED
°®×ö·¹µÄ»Ô¸ç¸ç,39.241s,ÕâÁ½ÌìºÜ¶àÈËÒªÓãÏãÈâË¿×ö·¨£¬½ñÌìÁ¢Âí°²ÅÅÉÏ£¡Ï²»¶³ÔµÄ¿ì×öÆğÀ´£¡#°®×ö·¹µÄ»Ô¸ç¸ç,64384,7558,5870,2798,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c680igbc77u0qtb2bdrg&line=0&file_id=b46fedccb4f24d779d1d28990ab227d1&sign=2cf0c16c333ad8d514fbe73c269b429e&is_play_url=1&source=PackSourceEnum_FEED
Ä§ÊõÊ¦°¢Éª,16.09s,¸Ï¿ìÕÒ¸öÃÃÃÃÊÔÊÔ°É£¡#Éş×ÓÌÓÍÑ,74995,6427,7193,329,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6151nrc77ubp9iafr3g&line=0&file_id=587b12756af245cfb4afe582cf89b88e&sign=f8fbc7fbe16378a3255ca2ff8db6aa1c&is_play_url=1&source=PackSourceEnum_FEED
Ğ¢¾¯°¢ÌØ,327.434s,Òş²ØÔÚÌì»¨°åµÄÃØÃÜ£¡·ÛË¿ÌìÑÛÔÙ¶È·¢Á¦£¡,39628,1440,369,1385,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6g80e3c77ud3amdjiag&line=0&file_id=d7dbe2033afb464abcfb54801b614b12&sign=97ff86fb3148f5fbc324c7e85f9d4f5b&is_play_url=1&source=PackSourceEnum_FEED
ÖĞÍ¶Ğ¡Íõ×Ó??,18.552s,¿ÏÁ·¾Í»á½ø²½#ÀºÇò½ÌÑ§,62593,2818,5240,512,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c66i5crc77uf9vumhqrg&line=0&file_id=33f425cce34d4f46a2c3d17b81674d7a&sign=70626bb9087cbe30912a46833abadfe2&is_play_url=1&source=PackSourceEnum_FEED
³Â³Â³Ô±¥±¥¡«,14.234s,ºÃ³Ôµ½¸ô±ÚĞ¡º¢¶¼¹ÜÎÒ½ĞÂèÂèµÄ#·¬ÇÑÈâ½´Ãæ ÕæµÄÊÇ´óÈËĞ¡º¢¶¼°®³Ô#´´×÷Áé¸Ğ #Á¹·çÆğÌùÇï±ì #ÃÀÊ³ @¶¶ÒôĞ¡ÖúÊÖ ,89964,25601,11037,8960,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c62f0i3c77u7ucdok870&line=0&file_id=f9750a3563df40f3a346c85220f4ecd0&sign=41f1bd0725033380db8aa00e7fe83380&is_play_url=1&source=PackSourceEnum_FEED
¶­Ğ¡¼Ò,51.269s,»¨ÁËÒ»¸öÔÂµÄ¹¤×Ê£¬°ÑÄĞÅóÓÑµÄÎÔÊÒ¸Ä³É»é·¿£¬µ½ºóÃæÎÒ·¢ÏÖÃ»ÓĞËû´ôµÄµØ¶ùÁË#×°ĞŞÈÕ¼Ç #·¿Îİ¸ÄÔì #douÉÏÈÈÃÅ,5133,675,298,449,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c5vrcm3c77u1cnst14a0&line=0&file_id=bfc090dd3f9d4c598ed098076563ca66&sign=07da06c17ecd3041024fe3d01b069456&is_play_url=1&source=PackSourceEnum_FEED
ÀºÇòÎÄ°¸¹İ,8.313s,¡°ÄĞº¢´íÁË£¬Äã¾Í¸æËßËû´íÄÄ¶ù£¬±ğÈÃËû²Â£¬Å®º¢ÊÇÊé£¬ÄĞº¢ÊÇÖí£¬Äã¾õµÃÒ»Ö»ÖíÄÜ¶Á¶®Ò»±¾ÊéÂğ£¿¡±#ÀºÇò #ÎÄ°¸ #ÓÃÀºÇò±í´ïĞÄÇé ,68303,3807,821,3604,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c65sq63c77u3fucip47g&line=0&file_id=8faa7a7b18344d9abbda2dca71329446&sign=24dc19a98e99abedfaabb2942a619884&is_play_url=1&source=PackSourceEnum_FEED
¹ãÎ÷´ò¿¨µØ¡¤ºìÁË´«Ã½,20.595s,´ò¹¤ÈË£¬ÓÖµ½ÖÜÄ©ÁË£¬ÏëºÃÕâ¸öÖÜÄ©ºÍ±ğÈËµÄÅ®ÅóÓÑÈ¥ÄÄÀïÁËÂğ£¿#ÂÃĞĞÍÆ¼ö¹Ù #¼¯ÊĞ #ÖÜÄ©È¥ÄÄÍæ ,8707,1721,922,1138,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c62g2vbc77uf259bav20&line=0&file_id=4dff871411b141669bf3c9fb0aa56f01&sign=8dfd90754301b1b8f663f6a50540015e&is_play_url=1&source=PackSourceEnum_FEED
×Ó½ñ,18.437s,ÕâÊÇÄĞº¢×ÓÒ»Éú¼á³ÖµÄÃÎÏë£¬ÊÇ¿çÔ½ÄêÁä×¨ÊôµÄÒÇÊ½¸Ğ  #edg #edg¼ÓÓÍ #edg¶á¹Ú #Çé¸Ğ #ÀøÖ¾ #ÎÒÒªÉÏÈÈÃÅ #½õÀğ¹¤ÅÆÕÕ @DOU+Ğ¡ÖúÊÖ @¶¶ÒôĞ¡ÖúÊÖ ,46027,4626,474,3166,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6358d3c77u9139g72tg&line=0&file_id=51ccf1168b164ee1b16350b33bc64732&sign=12a60afed3a80a9a3ddada6346340f06&is_play_url=1&source=PackSourceEnum_FEED
´©7ºÅµÄÈı¾®,22.453s,ÊµÕ½ÖĞÄÇĞ©×î¸ßĞ§µÄ¹ıÈË¶¯×÷£¨¶ş£©£¬¡°¿âÊ½Ë«±³ÔË¡±µÄÍêÕû½âÎöÀ´À²£¬½Ú×àĞÍºóÎÀ¶¥¼¶¹ıÈË¼¼ÇÉ#ÀºÇò #ÀºÇò½ÌÑ§,69581,1757,3074,440,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6bql6bc77ufeh7gkesg&line=0&file_id=484440a51cc24c628ae308d08b762a4b&sign=5bc72b814678e38427f6171c92c54772&is_play_url=1&source=PackSourceEnum_FEED
ÕÅ¹úÎ°_¹ú¼ÒÎ°´ó,7.337s,ÎÒÔÚ´åÀïÆÓÊµÎŞ»ªµÄÒ»Ìì,138279,12221,2280,5019,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c6g85gjc77u2kg2m6ou0&line=0&file_id=d84f174676714312bde95792028754e2&sign=de2412ce4a71f2ff4fd08d8e42c058ae&is_play_url=1&source=PackSourceEnum_FEED
+C,7.429s,´ò¿¨Ö¥Ê¿ÆÙ²¼²¿¶Ó»ğ¹ø#ÃÀÊ³vlog #Ö¥Ê¿¾ÍÊÇÁ¦Á¿ #³Ô»õÈÕ³£,42996,24855,441,9760,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5skqrbc77u94dip8kf0&line=0&file_id=ff67bd73e8454ac08d9ea05e331b2246&sign=7b1f4fb72d5233f174ac72bef930aaf5&is_play_url=1&source=PackSourceEnum_FEED
·ëè÷´Ï¡«,12.933s,¡°²»Òª×ö³¡ÏÂËµºÃÇòµÄÄÇ¸öÈË£¬Òª×ö³¡ÉÏ±»±ğÈËËµºÃÇòÄÇ¸öÈË¡±,23036,1984,240,987,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5tf2fbc77u32uq7snmg&line=0&file_id=b0a876b61794484aa31632edddceb089&sign=6443f31e690dda3870210c2c18db10f3&is_play_url=1&source=PackSourceEnum_FEED
Çé·çÒôÀÖºĞ,7.036s,¡°ÎÒÒ²²»ÖªµÀÎªÊ²Ã´Ï²»¶Äã£¬Ï²»¶ÄãÊ²Ã´£¬ÓĞÊ²Ã´ÈÃÎÒÏ²»¶µÄ£¬¿ÉÎÒ¾ÍÊÇÏ²»¶Äã£¬ºÜÏ²»¶Äã£¬·Ç³£Ï²»¶Äã£¬Ô½À´Ô½Ï²»¶Äã¡±#ÇïÌìµÄ×îºóÒ»Ê×¸è ,6417,314,170,281,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5ts44bc77u120p22nf0&line=0&file_id=caeb92a8cf31456faa23c624ec3eddf9&sign=53752017475071fca9c2a5bcdef69da2&is_play_url=1&source=PackSourceEnum_FEED
³ô¶¹¸¯,5.643s,,239173,23652,3177,31799,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c67rmljc77u7d8e2pva0&line=0&file_id=e511704bb8f94f28a6e86a977bf1a685&sign=b1ed782a951c7c22239fcd3243cfefc6&is_play_url=1&source=PackSourceEnum_FEED
Áú¸çµÄÀºÇò??,11.029s,¡°½éÉÜÒ»ÏÂ ÓĞÒ»ÖÖÃÎ»ÃÎè²½½Ğ×ö¿­ÀïÅ·ÎÄ¡±µÂÂ³´óÊåºûµû´©»¨Ğã·­È«³¡£¡#Å·ÎÄ #ÀºÇò #ÀºÇò½ÌÑ§ @DOU+Ğ¡ÖúÊÖ,43301,2457,2809,589,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c68elijc77ud951ouea0&line=0&file_id=4a6435ddba0742a09aa43f3ecd4b66ef&sign=f03926e833709e9a06381f2254dea989&is_play_url=1&source=PackSourceEnum_FEED
Ë÷Â¡½´,15.604s,¡°×îÇ¿¡±#º£ÔôÍõ#º£ÔôÍõ1000»° @DOU+Ğ¡ÖúÊÖ @DOU+ÉÏÈÈÃÅ @¶¶ÒôĞ¡ÖúÊÖ ,138346,11228,2706,4530,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6d4p3bc77udctmphfng&line=0&file_id=997dcb332d094253a92b9186a5b85abe&sign=985a8bf8999842933eafcd61dc399c0c&is_play_url=1&source=PackSourceEnum_FEED
Ö»ÖªµÀ³Ô³ÔºÈºÈ,9.868s,ÔÛÃÇ¾ÍÊÇËµ·¢Ã÷Õâ¸ö³Ô·¨µÄÊÇ¸öÌì²Å????#Éñ²Ù×÷ #ÍÂË¾Ãæ°ü,240676,42626,2779,46643,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c66eurjc77u382u3cvq0&line=0&file_id=317892e604374a209b8f0b88547cb103&sign=9de9954f8d1aaf913a0da602564c5ec1&is_play_url=1&source=PackSourceEnum_FEED
©kCr[o]ssover??,9.869s,¡°Õ¾ ¿Û¡±#ÀºÇò#¿ÛÀº#¶¶Òôemo¸æ±ğ´ó»á ,3824,769,141,263,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c696s83c77u95pildu7g&line=0&file_id=6ee521c4c8ac4407b82b3d68f627659b&sign=dc40fda7209be479e6c92cfb9be6b4f4&is_play_url=1&source=PackSourceEnum_FEED
Å´Ã×Íè×Ó,10.703s,#Ã¨ßäµÄÃÔ»óĞĞÎª ÈÕ³£°İ°İ·ğ#Ğ¡ÄÌÃ¨µÄ³É³¤ÈÕ¼Ç,1715992,223664,35610,105536,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c61cabrc77u6803ef8vg&line=0&file_id=b72fe21246ff40ae88a70fe2eb31323d&sign=daf425ca629867aa55c477482aba3097&is_play_url=1&source=PackSourceEnum_FEED
ÏÂ´Î¼ûÃæÓĞ»¨Âï,5.782s,#¿¾³¦  ÄÇ¾ÍÒ»Ö±Àä±ù±ù Ö±µ½Óö¼ûÒ»´ÎÄÜ¸øÎÒÂòÊ®¸ù¿¾³¦µÄÈË,993681,178269,14349,116112,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6aetujc77u827h4rqo0&line=0&file_id=29316838000c42c2bff831f046297cd7&sign=f86a584ed485082d4d4f280ef7c1f83d&is_play_url=1&source=PackSourceEnum_FEED
½­¸ç??´øÄãÑ§ÀºÇò(½ÓË½½Ì),34.945s,Ñ§»áÁËÕâÌ××ªÉí¹ıÈËĞã·­Õû¸öÀºÇò³¡#ÀºÇò½ÌÑ§ #×ªÉí¹ıÈË #¶¶ÒôĞ¡ÖúÊÖ,14606,1975,1920,140,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c65qrp3c77uf1t3h0gj0&line=0&file_id=a954b6cdcfa34344a6158c9fff538dea&sign=59722d8f8a36d4be3de8d59b3cb0e4a9&is_play_url=1&source=PackSourceEnum_FEED
¼«ËÙ±¦Âí,9.497s,¶ÔÓÚÒ»¸ö³µÊÖÀ´Ëµ ÕâÃ´ÌğµÄĞ¡½ã½ã²»±ÈµÅÍÈ±ä×°ºÃ¿´£¿#Å®³µÊÖ ,329425,38631,8321,13393,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c63v8p3c77u8unl2abu0&line=0&file_id=8994bbbff63b416381efacb3c638c52f&sign=444249b21beec315e3a1ae1791a37e1e&is_play_url=1&source=PackSourceEnum_FEED
³Ç–|,8.058s,#edg ¾ÍËã±»×¥£¬ĞÅÑö²»µ¹£¡#¾¯Ğ£ ,46699,3688,385,1975,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c638bsrc77ufrkeid8s0&line=0&file_id=03eb73d322d349a1a61236ba5844f601&sign=c7a66dace1f5cc35de1ecd94c1042b0c&is_play_url=1&source=PackSourceEnum_FEED
Éí·¨µÛ¹ú,18.32s,#Éí·¨ #ºìÑÛ #Âú¼¶ÈËÀà,11036,696,531,110,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6d3tmrc77u1cg7mt8vg&line=0&file_id=c6765c10f3694320a51267eb3c35ec49&sign=4c2ac93e4b52b7951760647abb6b2085&is_play_url=1&source=PackSourceEnum_FEED
Ğ¡ÀÇĞ¡ÀÇ¼¸µãÁË,11.1s,ÀËÂşÖÁËÀ²»Óå.#Ó¢ÎÄ ,222382,7931,11785,7085,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c637f43c77u29d8qsiu0&line=0&file_id=38283a47265a4cefa4df03be2610c6cd&sign=fb9ecddce1d32b4a26ca97fa2b424c60&is_play_url=1&source=PackSourceEnum_FEED
±ğÄóĞ¡ÖÜÁ³,20.852s,¡¶ ¼« ÏŞ À­ ³¶ ¡·@DOU+Ğ¡ÖúÊÖ ,707549,55992,5116,40030,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c5tumurc77u7pllrls6g&line=0&file_id=fed8b63b9a354732828716c463bb6e9f&sign=1d12aedaad925a1ab838b68c506faced&is_play_url=1&source=PackSourceEnum_FEED
Àî´ó´º??,26.679s,É½Ä·¸ßµÂ¹ıÈËĞ¡¼¼ÇÉ ĞÖµÜÃÇ¿ìµãÑ§ÆğÀ´ ÕâÆÚÊÓÆµÌ«¸ÉÁË£¡#ÄãºÃÀºÇòÉÙÄê #¸æ±ğemo³±Á÷×¡,272748,5420,9244,2270,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c6dotnbc77u1upqsr8ng&line=0&file_id=eb561c73fa7c4b20816e85a13b10e233&sign=d75e6baef82ffafccfd796e18ffde001&is_play_url=1&source=PackSourceEnum_FEED
Ñî¹âÀøÖ¾¹İ,17.183s,#ÏòÓ¢ĞÛÖÂ¾´ #ÖÂ¾´ÏÈÁÒ @¶¶ÒôĞ¡ÖúÊÖ ,44266,134,722,61,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c6g2m5bc77ud3ama5vbg&line=0&file_id=26279a7d5961493ebe89d98b5f8b93d7&sign=e7cb969247813a175a7106595c48abf9&is_play_url=1&source=PackSourceEnum_FEED
Ñ§°ÔÖ±Í¨³µ,15.138s,Ô­À´Ñ§°Ô²»Ñ§Ï°È´ÄÜ¿¼Âú·Ö??µÄ¼¼ÇÉÊÇÕâ¸ö£¬½ñÌì·ÖÏí¸ø´ó¼Ò¡£#Ñ§°Ô #Ñ§Ï° #¿¼ÊÔ #Ñ§Ï°Ê¹ÎÒ¿ìÀÖ #Ñ§°ÔÃØ¼®,325025,25629,30822,5518,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000c68dfljc77u8pojiat90&line=0&file_id=b44e06b2d71e4361bf3fd06b14e1cca0&sign=bb5c7fa07c5dba6cf0a09970c1ed5615&is_play_url=1&source=PackSourceEnum_FEED
ÎÏ¿ÇÌåÓı,14.651s,¡°²»ÊÇ³É¹¦À´µÄÂı£¬¶øÊÇÄãÅ¬Á¦µÄ²»¹»ºİ¡±#8ºÅ¿Æ±È #ºşÈË #¿ÛÀº #Ğ¡·ÉÏÀ #ÀÏ´ó,65181,2366,1807,678,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c5vurcbc77u8jcd5kj2g&line=0&file_id=3cf77a0efdd6471398935e76e2751f38&sign=513bd7af47bdf76f70b67da8975bb2fa&is_play_url=1&source=PackSourceEnum_FEED
zhilin,8.358s,ÖĞ¹úÈË²»Æ­ÖĞ¹úÈË ÎÒÕâÊÇÃş½Å±ä×°£¨¾µ×ÓÔõÃ´²Á²Å¸É¾»??£©#ÃşÍ·É±±ä×°#00 #´¦Å®×ù #À±ÃÃ,30499,2686,709,769,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c618p5bc77u92cpacn4g&line=0&file_id=6e199e74dc5f4aeda404d8cacf04821d&sign=3c3ce74a009ff6f546b76b258182b801&is_play_url=1&source=PackSourceEnum_FEED
Æ¦Ó×,10.448s,°ÑÄã×îºÃÉ«µÄ¹ëÃÛ°¬ÌØ¹ıÀ´£¬ÈÃËùÓĞÈËÈ«¶¼ÖªµÀËıºÃÕâ¿Ú#Å·ºÀ#Æ¦Ë§ #Å®Éú,188223,65777,3087,47761,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c69mc33c77u08cfs5uj0&line=0&file_id=1971e2df906e470c9741f62486a3db0e&sign=9bdb46f1bb2cb3dcb98b4377bedb59a6&is_play_url=1&source=PackSourceEnum_FEED
Âæ½ÌÁ·??,9.751s,¡°Ğ¡Ê±ºòÈ¥´òÇòÊÇÒòÎª¿ìÀÖ£¬ÏÖÔÚÈ¥´òÇòÊÇÎªÁË¿ìÀÖ??¡±#ÀºÇò½ÌÑ§ #ÓÃÀºÇò±í´ïĞÄÇé,44156,2003,2709,555,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000c66gbkbc77u82rb03qkg&line=0&file_id=6b3072201eed467480875daafa7363e2&sign=3d5e77fbab693800620104caaec0bf70&is_play_url=1&source=PackSourceEnum_FEED
